awd_id,fiscal_year,awd_amount,dir_abbr,div_abbr,inst_name,code,inst_state_name,tot_intn_awd_amt,diff,state
2230957,2022,310877.0,SBE,SES,Yale University,CT,Connecticut,310877.0,0.0,Connecticut
2230960,2022,45735.0,ENG,CMMI,University of Notre Dame,IN,Indiana,45735.0,0.0,Indiana
2230963,2022,1500000.0,ENG,ECCS,University of Minnesota-Twin Cities,MN,Minnesota,1500000.0,0.0,Minnesota
2230968,2022,222894.0,CSE,CNS,University of California-Riverside,CA,California,538366.0,315472.0,California
2230969,2022,157081.0,CSE,CNS,University of California-Riverside,CA,California,239897.0,82816.0,California
2230996,2022,93856.0,TIP,ITE,University of California-Berkeley,CA,California,93856.0,0.0,California
2230997,2022,4931754.0,EDU,DUE,University of Oregon Eugene,OR,Oregon,4235810.0,-695944.0,Oregon
2231012,2022,1499908.0,ENG,ECCS,North Carolina State University,NC,North Carolina,1499908.0,0.0,North Carolina
2231021,2022,28500.0,MPS,DMS,Florida International University,FL,Florida,28500.0,0.0,Florida
2231026,2022,1500000.0,ENG,ECCS,SUNY at Buffalo,NY,New York,1500000.0,0.0,New York
2231027,2022,10000.0,CSE,OAC,University of Texas at San Antonio,TX,Texas,10000.0,0.0,Texas
2231036,2022,1499921.0,ENG,ECCS,University of Rochester,NY,New York,1499921.0,0.0,New York
2231037,2022,181652.0,ENG,CBET,Pennsylvania State Univ University Park,PA,Pennsylvania,181652.0,0.0,Pennsylvania
2231040,2022,300000.0,CSE,CNS,SUNY at Stony Brook,NY,New York,300000.0,0.0,New York
2231085,2022,168176.0,CSE,CNS,University of Alabama Tuscaloosa,AL,Alabama,169635.0,1459.0,Alabama
2231086,2022,50000.0,CSE,CNS,USENIX Association,WA,Washington,50000.0,0.0,Washington
2231092,2022,50000.0,TIP,TI,Oakland University,MI,Michigan,50000.0,0.0,Michigan
2231097,2022,1318607.0,ENG,ECCS,University of California-Los Angeles,CA,California,1318607.0,0.0,California
