awardeeName,count_total,total_obligated_funds
Frederick Community College,3,1336919
Fresno City College,2,413826
"Fridovich-Keil, Sara",1,190000
Friends of the North Carolina State Museum of Natural Sciences,3,841769
"Frisch, Joshua Robert",1,150000
"Froehlich, Catheline Yasmin-Magali",2,480000
Front Range Community College,2,298928
"Frostig, Danielle",1,330000
Fullerton College,2,691028
Furman University,15,7890702
"Fuster Aguilera, Rosa Maria",1,300000
GALLOX SEMICONDUCTORS INC.,1,305000
GALVANIX INC.,1,305000
GAVILAN JOINT COMMUNITY COLLEGE DISTRICT,1,375000
GENALPHA NUCLEAR TECHNOLOGIES LLC,1,275000
GENASSIST INC,1,294993
GENCORES LLC,1,1199674
GENERATE LLC,1,1199000
GENEXGEN INC,1,274763
